"City","Season","Price"
"atga","JU16",976.08
"autx","JU16",1113.67
"chil","JU16",1050.83
"deco","JU16",1021.67
"edal","JU16",740
"foco","JU16",918.42
"icia","JU16",827.78
"inin","JU16",664.58
"jams","JU16",646.33
"maks","JU16",580
"mawi","JU16",806.17
"occa","JU16",1427.5
"phaz","JU16",778.25
"rony","JU16",733.83
"safl","JU16",984.67
"scut","JU16",790.83
"sewa","JU16",1270.17
"slmo","JU16",703.83
"tawa","JU16",1130.33
"wide","JU16",1161.33
"atga","OC16",976.08
"autx","OC16",1113.67
"chil","OC16",1050.83
"deco","OC16",1021.67
"edal","OC16",740
"foco","OC16",918.42
"icia","OC16",827.78
"inin","OC16",664.58
"jams","OC16",646.33
"maks","OC16",580
"mawi","OC16",806.17
"occa","OC16",1427.5
"phaz","OC16",778.25
"rony","OC16",733.83
"safl","OC16",984.67
"scut","OC16",790.83
"sewa","OC16",1270.17
"slmo","OC16",703.83
"tawa","OC16",1130.33
"wide","OC16",1161.33
"atga","JA17",1000.92
"autx","JA17",1125.42
"chil","JA17",1077
"deco","JA17",1040.5
"edal","JA17",732.6
"foco","JA17",924.17
"icia","JA17",837.67
"inin","JA17",678.67
"jams","JA17",663.42
"maks","JA17",577.33
"mawi","JA17",817.83
"occa","JA17",1467.58
"phaz","JA17",814.42
"rony","JA17",746.83
"safl","JA17",1017.08
"scut","JA17",825.25
"sewa","JA17",1332.17
"slmo","JA17",717
"tawa","JA17",1207.75
"wide","JA17",1104.83
"atga","AP17",1000.92
"autx","AP17",1125.42
"chil","AP17",1077
"deco","AP17",1040.5
"edal","AP17",732.6
"foco","AP17",924.17
"icia","AP17",837.67
"inin","AP17",678.67
"jams","AP17",663.42
"maks","AP17",577.33
"mawi","AP17",817.83
"occa","AP17",1467.58
"phaz","AP17",814.42
"rony","AP17",746.83
"safl","AP17",1017.08
"scut","AP17",825.25
"sewa","AP17",1332.17
"slmo","AP17",717
"tawa","AP17",1207.75
"wide","AP17",1104.83
"atga","JU17",1000.92
"autx","JU17",1125.42
"chil","JU17",1077
"deco","JU17",1040.5
"edal","JU17",732.6
"foco","JU17",924.17
"icia","JU17",837.67
"inin","JU17",678.67
"jams","JU17",663.42
"maks","JU17",577.33
"mawi","JU17",817.83
"occa","JU17",1467.58
"phaz","JU17",814.42
"rony","JU17",746.83
"safl","JU17",1017.08
"scut","JU17",825.25
"sewa","JU17",1332.17
"slmo","JU17",717
"tawa","JU17",1207.75
"wide","JU17",1104.83
"atga","OC17",1000.92
"autx","OC17",1125.42
"chil","OC17",1077
"deco","OC17",1040.5
"edal","OC17",732.6
"foco","OC17",924.17
"icia","OC17",837.67
"inin","OC17",678.67
"jams","OC17",663.42
"maks","OC17",577.33
"mawi","OC17",817.83
"occa","OC17",1467.58
"phaz","OC17",814.42
"rony","OC17",746.83
"safl","OC17",1017.08
"scut","OC17",825.25
"sewa","OC17",1332.17
"slmo","OC17",717
"tawa","OC17",1207.75
"wide","OC17",1104.83
"atga","JA18",1020
"autx","JA18",1137.42
"chil","JA18",1075.17
"deco","JA18",1054.58
"edal","JA18",752.58
"foco","JA18",942.92
"icia","JA18",845.25
"inin","JA18",689.75
"jams","JA18",691.83
"maks","JA18",568.08
"mawi","JA18",828.33
"occa","JA18",1491.79
"phaz","JA18",837
"rony","JA18",764.17
"safl","JA18",1108.08
"scut","JA18",855.33
