,atga,autx,chil,deco,edal,foco,icia,inin,jams,maks,mawi,occa,phaz,rony,safl,scut,sewa,slmo,tawa,wide
armadillo,111.2663728,231.6015381,-473.1059849,-167.6878774,-2521.196912,-255.6023221,-390.2402213,-444.6288023,257.3427767,150.2565857,-588.1313114,-1359.973804,-685.6808686,-1242.999035,54.02638319,-764.9545557,-2336.135441,62.89175662,-2313.716845,-1048.560821
bobcat,440.4827447,231.6015381,-40.91415209,920.3654289,-528.7809824,865.6292508,222.0468523,216.9939543,256.9348676,449.5613598,-47.3180077,37.30368221,318.2483977,-88.33508458,54.02638322,1202.486354,64.49296625,507.7886163,131.2866474,-77.48930109
eastern_chipmunk,195.0848849,-545.1573212,1048.98958,-799.6977086,-1287.503477,-787.1537785,703.3605719,863.4867472,158.6891531,58.10740949,995.3920253,-2345.252682,-1682.786031,194.5132416,-505.5304144,-1483.22678,-2057.587968,574.1768869,-2089.427936,10.7107053
california_ground_squirrel,-3185.454608,-1619.293474,-3355.021226,-1428.581013,-1433.856787,-1461.899647,-2944.598207,-3369.851713,-2508.248931,-2297.671538,-3234.257813,37.30349961,-435.5919352,-4436.28402,-3374.494959,-799.3316128,-150.6788825,-2872.836911,-117.7382218,-4389.88881
cottontail_sp,457.4748728,231.6015381,519.016244,34.31652841,-948.6653794,44.53093915,774.0473537,467.0590101,257.3427767,960.0316845,592.0370831,35.44932342,89.8770098,194.5132416,54.39297729,-99.23179108,-45.20223774,956.0337818,-111.9869258,10.71589574
coyote,437.7594461,231.0227786,1267.4871,1477.184473,692.3442851,1568.762379,1550.128002,1001.79258,284.6547185,1272.861967,1296.524523,35.44932342,318.2383784,194.5132416,54.39297729,1170.194888,12.82866831,1100.669555,5.897718634,9.555183033
gray_squirrel_sp,440.4837303,98.41861272,519.016244,-668.7485717,-621.6625478,-692.1121901,372.9472403,467.0590101,257.3441086,100.6703981,592.0370831,-40.75720222,-381.2841763,194.5132416,54.03173617,-903.473546,-46.55246782,683.5803062,1.822075245,10.7107053
gray_fox,440.4827447,231.6015381,519.0200429,110.0293599,-1554.070398,70.76234757,636.6332966,467.0615957,241.6072005,211.3994364,601.5857834,37.30349961,318.2483976,194.5132416,54.02638319,161.0467331,-240.6555579,870.2642572,-172.9889029,10.71589574
weasel_sp,440.4827242,231.6017393,1270.443046,587.2776197,1150.430116,691.8800203,1560.541528,1006.458926,257.3427767,1245.601859,1444.688736,37.30349143,-77.65812961,194.5132416,54.02649657,542.9420222,0.105451045,1085.713792,8.396237445,10.71589574
muskrat,319.1132518,-255.2321179,1270.443053,591.2819216,1150.430116,622.8578964,1309.868924,1006.458927,77.55632082,822.6795913,1444.688736,-169.4945618,-69.0570843,194.5132416,-423.4447117,256.6825642,0.10546031,837.5759872,8.396269012,10.71589665
