"Site","City","Season","Building_age","Impervious","Income","Ndvi","Population_density","Vacancy"
"ANGC","atga","JU16",1994.4,14.084329,155114.6,7844.291667,12.03773,46.4
"BCC","atga","JU16",1987.5,18.938126,146291.5,7249.681818,132.467831,76.5
"BFES","atga","JU16",2002,18.993468,220577,7371.041667,9.764296,49
"BHNP","atga","JU16",1983.875,27.771938,141142.5,6633.085106,624.691971,190.75
"CAMP","atga","JU16",1974,13.315145,102747.4,7712.275862,420.370582,27.666667
"CC","atga","JU16",1966.769231,45.772119,73047.076923,5003.910714,1063.232243,119.307692
"CCB","atga","JU16",1987.6,17.241959,153984.8,6923.269231,261.995883,201.4
"CCCrab","atga","JU16",1990.333333,13.75211,132737.333333,7792.512195,21.775569,68.666667
"CLEV","atga","JU16",1976.888889,33.716123,117515,6070,272.26417,86.777778
"CMAC","atga","JU16",1995,30.655237,135301,6425.97619,66.823226,0
"CN","atga","JU16",1992,19.028552,151627.5,7482.5,35.021134,85.5
"CNC","atga","JU16",1986,26.407543,112066,7559.565217,84.374103,51.428571
"CP","atga","JU16",1987,30.203689,111564.5,6119.255319,254.843246,83
"CTCC","atga","JU16",1984.4,14.441005,75395.8,7296.895833,573.381131,65.6
"DHGC","atga","JU16",1958.833333,28.767586,128587.666667,6403.269231,406.820882,62.333333
"GB","atga","JU16",1985,16.856237,123896.8,7173.882353,122.303409,36.2
"GP","atga","JU16",1955.6,33.76749,79947.5,6451.98,959.175085,87.7
"HF","atga","JU16",1982.4,22.620509,113391,7165.380952,688.337711,23
"HMS","atga","JU16",1986.4,19.721805,124547.6,7892.181818,307.460034,60.8
"HTP","atga","JU16",1964.75,28.267618,104820.875,6395.173077,731.298915,81.75
"JAN","atga","JU16",1984.166667,30.729272,97270.666667,6456.377358,560.803449,147
"JT","atga","JU16",1973,33.15083,100884.714286,6083.375,1164.164652,136.714286
"KR","atga","JU16",1990.8,19.706221,165584.8,7235.222222,65.732402,44.2
"LA","atga","JU16",1988.5,22.309141,138650,7509,205.002587,38.166667
"MF","atga","JU16",1987.7,29.665151,69301.8,6384.510638,618.28765,90
"MNP","atga","JU16",1963.285714,27.744111,104459.857143,6296.166667,667.790729,75.571429
"MVD","atga","JU16",1978.428571,29.874138,110348.714286,6383.77551,385.730761,64.285714
"NF","atga","JU16",1997.5,20.073477,158195,7897.130435,11.037419,32
"PP","atga","JU16",1964.625,36.38485,100338.4,5680.081633,1398.351071,103.25
"RZ","atga","JU16",1980,16.767819,86207,7898.02,58.29405,149
"SGB","atga","JU16",1989.142857,35.149298,106445,6570.487179,191.997794,47.428571
"SP","atga","JU16",1973.916667,46.73837,67422.75,4742.6,832.090442,142.583333
"TES","atga","JU16",1984.571429,30.518999,123329.714286,7255.6,295.395367,18.857143
"TV","atga","JU16",1978,23.128955,167366.166667,7277.982759,123.141722,25.666667
"VHTC","atga","JU16",1997.5,15.256338,158195,7764.714286,12.732988,32
"WN","atga","JU16",1995.5,16.797724,156002.5,7895.851064,16.981334,28.5
"AUTX-C01-EML","autx","JU16",1999,19.597122,105438,6522.734694,9.296447,170.5
"AUTX-C01-WBP","autx","JU16",1986.333333,31.566529,187728.666667,6232.385965,24.374981,95
"AUTX-C02-BOG","autx","JU16",1969,39.779835,63646.454545,4561.428571,1039.811083,40.25
"AUTX-C02-PEA","autx","JU16",1981.25,42.816186,66283.666667,4740.030303,1712.429779,184.25
